Function,Concentration,Predicted
1,17417.4,0.0138671
1,17437.4,0.0138513
1,17457.5,0.0138355
1,17477.5,0.0138197
1,17497.5,0.013804
1,17517.5,0.0137883
1,17537.5,0.0137727
1,17557.6,0.0137571
1,17577.6,0.0137415
1,17597.6,0.013726
1,17617.6,0.0137105
1,17637.6,0.013695
1,17657.7,0.0136796
1,17677.7,0.0136642
1,17697.7,0.0136488
1,17717.7,0.0136335
1,17737.7,0.0136182
1,17757.8,0.0136029
1,17777.8,0.0135877
1,17797.8,0.0135725
1,17817.8,0.0135573
1,17837.8,0.0135422
1,17857.9,0.0135271
1,17877.9,0.0135121
1,17897.9,0.013497
1,17917.9,0.013482
1,17937.9,0.0134671
1,17958,0.0134522
1,17978,0.0134373
1,17998,0.0134224
1,18018,0.0134076
1,18038,0.0133928
1,18058.1,0.013378
1,18078.1,0.0133633
1,18098.1,0.0133486
1,18118.1,0.0133339
1,18138.1,0.0133193
1,18158.2,0.0133047
1,18178.2,0.0132901
1,18198.2,0.0132756
1,18218.2,0.0132611
1,18238.2,0.0132466
1,18258.3,0.0132322
1,18278.3,0.0132178
1,18298.3,0.0132034
1,18318.3,0.0131891
1,18338.3,0.0131748
1,18358.4,0.0131605
1,18378.4,0.0131462
1,18398.4,0.013132
1,18418.4,0.0131178
1,18438.4,0.0131036
1,18458.5,0.0130895
1,18478.5,0.0130754
1,18498.5,0.0130613
1,18518.5,0.0130473
1,18538.5,0.0130333
1,18558.6,0.0130193
1,18578.6,0.0130054
1,18598.6,0.0129914
1,18618.6,0.0129776
1,18638.6,0.0129637
1,18658.7,0.0129499
1,18678.7,0.0129361
1,18698.7,0.0129223
1,18718.7,0.0129086
1,18738.7,0.0128948
1,18758.8,0.0128812
1,18778.8,0.0128675
1,18798.8,0.0128539
1,18818.8,0.0128403
1,18838.8,0.0128267
1,18858.9,0.0128132
1,18878.9,0.0127997
1,18898.9,0.0127862
1,18918.9,0.0127727
1,18938.9,0.0127593
1,18959,0.0127459
1,18979,0.0127325
1,18999,0.0127192
1,19019,0.0127059
1,19039,0.0126926
1,19059.1,0.0126793
1,19079.1,0.0126661
1,19099.1,0.0126529
1,19119.1,0.0126397
1,19139.1,0.0126266
1,19159.2,0.0126135
1,19179.2,0.0126004
