Function,Concentration,Predicted
1,18698.7,0.990854
1,18718.7,0.990864
1,18738.7,0.990873
1,18758.8,0.990883
1,18778.8,0.990893
1,18798.8,0.990902
1,18818.8,0.990912
1,18838.8,0.990921
1,18858.9,0.990931
1,18878.9,0.99094
1,18898.9,0.99095
1,18918.9,0.990959
1,18938.9,0.990969
1,18959,0.990978
1,18979,0.990987
1,18999,0.990997
1,19019,0.991006
1,19039,0.991015
1,19059.1,0.991025
1,19079.1,0.991034
1,19099.1,0.991043
1,19119.1,0.991052
1,19139.1,0.991062
1,19159.2,0.991071
1,19179.2,0.99108
1,19199.2,0.991089
1,19219.2,0.991098
1,19239.2,0.991107
1,19259.3,0.991117
1,19279.3,0.991126
1,19299.3,0.991135
1,19319.3,0.991144
1,19339.3,0.991153
1,19359.4,0.991162
1,19379.4,0.991171
1,19399.4,0.99118
1,19419.4,0.991189
1,19439.4,0.991198
1,19459.5,0.991207
1,19479.5,0.991216
1,19499.5,0.991224
1,19519.5,0.991233
1,19539.5,0.991242
1,19559.6,0.991251
1,19579.6,0.99126
1,19599.6,0.991269
1,19619.6,0.991277
1,19639.6,0.991286
1,19659.7,0.991295
1,19679.7,0.991304
1,19699.7,0.991312
1,19719.7,0.991321
1,19739.7,0.99133
1,19759.8,0.991338
1,19779.8,0.991347
1,19799.8,0.991356
1,19819.8,0.991364
1,19839.8,0.991373
1,19859.9,0.991381
1,19879.9,0.99139
1,19899.9,0.991399
1,19919.9,0.991407
1,19939.9,0.991416
1,19960,0.991424
1,19980,0.991433
1,20000,0.991441
2,0,0.923417
2,20.02,0.583986
2,40.04,0.544067
2,60.0601,0.51102
2,80.0801,0.482164
2,100.1,0.456539
2,120.12,0.433568
2,140.14,0.412832
2,160.16,0.394009
2,180.18,0.37684
2,200.2,0.361112
2,220.22,0.34665
2,240.24,0.333305
2,260.26,0.320952
2,280.28,0.309484
2,300.3,0.298809
2,320.32,0.288847
2,340.34,0.279528
2,360.36,0.270793
2,380.38,0.262587
2,400.4,0.254865
2,420.42,0.247584
2,440.44,0.240708
2,460.46,0.234203
2,480.48,0.228041
2,500.501,0.222196
2,520.521,0.216642
2,540.541,0.21136
2,560.561,0.206329
2,580.581,0.201532
2,600.601,0.196953
2,620.621,0.192578
2,640.641,0.188393
2,660.661,0.184385
2,680.681,0.180545
2,700.701,0.176862
2,720.721,0.173326
2,740.741,0.169928
2,760.761,0.166662
2,780.781,0.163518
2,800.801,0.160491
2,820.821,0.157574
2,840.841,0.154761
2,860.861,0.152047
2,880.881,0.149426
2,900.901,0.146895
2,920.921,0.144447
2,940.941,0.14208
2,960.961,0.139789
2,980.981,0.137571
2,1001,0.135422
2,1021.02,0.133339
2,1041.04,0.13132
2,1061.06,0.12936
2,1081.08,0.127459
2,1101.1,0.125612
2,1121.12,0.123818
2,1141.14,0.122075
2,1161.16,0.12038
2,1181.18,0.118731
2,1201.2,0.117127
2,1221.22,0.115566
2,1241.24,0.114046
2,1261.26,0.112565
2,1281.28,0.111122
2,1301.3,0.109716
2,1321.32,0.108345
2,1341.34,0.107008
2,1361.36,0.105703
2,1381.38,0.10443
2,1401.4,0.103187
2,1421.42,0.101974
2,1441.44,0.100788
2,1461.46,0.09963
2,1481.48,0.0984981
2,1501.5,0.0973917
2,1521.52,0.0963099
2,1541.54,0.0952518
2,1561.56,0.0942167
2,1581.58,0.0932039
2,1601.6,0.0922126
