Concentration,1,2,Vmax1,Km1,Vmax2,Km2,QH,Clint,ClH,Delta_Clint,Delta_ClH
2722.72,0.0858721,0.0809094,,,,,,0.085872205,0.08090944,-1.05277E-07,-3.95611E-08
2742.74,0.0852689,0.0803736,,,,,,0.085268984,0.080373709,-8.41571E-08,-1.09472E-07
2762.76,0.0846741,0.079845,,,,,,0.084674179,0.079845027,-7.88261E-08,-2.73112E-08
2782.78,0.0840875,0.0793232,,,,,,0.084087614,0.079323255,-1.14384E-07,-5.49057E-08
2802.8,0.083509,0.0788082,,,,,,0.083509121,0.078808258,-1.20745E-07,-5.76697E-08
2822.82,0.0829385,0.0782998,,,,,,0.082938532,0.078299904,-3.24697E-08,-1.0449E-07
2842.84,0.0823756,0.077798,,,,,,0.082375689,0.077798068,-8.86114E-08,-6.76167E-08
2862.86,0.0818204,0.0773026,,,,,,0.081820433,0.077302623,-3.25623E-08,-2.25513E-08
2882.88,0.0812725,0.0768134,,,,,,0.081272612,0.076813448,-1.11909E-07,-4.79488E-08
2902.9,0.080732,0.0763304,,,,,,0.080732078,0.076330426,-7.82937E-08,-2.55159E-08
2922.92,0.0801986,0.0758534,,,,,,0.080198687,0.07585344,-8.72781E-08,-3.99161E-08
2942.94,0.0796722,0.0753823,,,,,,0.079672298,0.075382379,-9.82172E-08,-7.86784E-08
2962.96,0.0791527,0.0749171,,,,,,0.079152774,0.074917132,-7.41341E-08,-3.21081E-08
2982.98,0.0786399,0.0744575,,,,,,0.078639982,0.074457593,-8.16019E-08,-9.32022E-08
3003,0.0781337,0.0740036,,,,,,0.078133791,0.074003658,-9.06289E-08,-5.75673E-08
3023.02,0.077634,0.0735552,,,,,,0.077634075,0.073555223,-7.45491E-08,-2.33403E-08
3043.04,0.0771406,0.0731121,,,,,,0.07714071,0.073112191,-1.09917E-07,-9.11123E-08
3063.06,0.0766535,0.0726744,,,,,,0.076653576,0.072674464,-7.64035E-08,-6.38551E-08
3083.08,0.0761725,0.0722419,,,,,,0.076172557,0.072241947,-5.67025E-08,-4.68505E-08
3103.1,0.0756975,0.0718145,,,,,,0.075697536,0.071814548,-3.64325E-08,-4.76218E-08
3123.12,0.0752283,0.0713921,,,,,,0.075228404,0.071392176,-1.04048E-07,-7.58679E-08
3143.14,0.074765,0.0709747,,,,,,0.074765051,0.070974743,-5.07515E-08,-4.33998E-08
3163.16,0.0743073,0.0705621,,,,,,0.07430737,0.070562164,-7.04101E-08,-6.40793E-08
3183.18,0.0738552,0.0701543,,,,,,0.073855259,0.070154354,-5.94735E-08,-5.37591E-08
3203.2,0.0734085,0.0697512,,,,,,0.073408617,0.06975123,-1.16896E-07,-3.02266E-08
3223.22,0.0729673,0.0693526,,,,,,0.072967344,0.069352713,-4.40636E-08,-1.13148E-07
3243.24,0.0725313,0.0689587,,,,,,0.072531345,0.068958724,-4.47164E-08,-2.40144E-08
3263.26,0.0721005,0.0685691,,,,,,0.072100525,0.068569186,-2.48834E-08,-8.6092E-08
3283.28,0.0716747,0.068184,,,,,,0.071674793,0.068184024,-9.2813E-08,-2.43702E-08
3303.3,0.071254,0.0678031,,,,,,0.071254059,0.067803166,-5.89075E-08,-6.55149E-08
3323.32,0.0708382,0.0674265,,,,,,0.070838236,0.067426538,-3.56612E-08,-3.78212E-08
3343.34,0.0704272,0.067054,,,,,,0.070427238,0.067054071,-3.75989E-08,-7.11688E-08
3363.36,0.0700209,0.0666856,,,,,,0.070020981,0.066685697,-8.12179E-08,-9.69782E-08
3383.38,0.0696193,0.0663213,,,,,,0.069619385,0.066321348,-8.49311E-08,-4.81688E-08
3403.4,0.0692223,0.0659609,,,,,,0.069222369,0.065960959,-6.90127E-08,-5.9118E-08
3423.42,0.0688298,0.0656044,,,,,,0.068829856,0.065604466,-5.55448E-08,-6.56221E-08
3443.44,0.0684417,0.0652517,,,,,,0.068441768,0.065251805,-6.83673E-08,-1.04858E-07
3463.46,0.068058,0.0649029,,,,,,0.068058033,0.064902915,-3.3028E-08,-1.5345E-08
3483.48,0.0676785,0.0645577,,,,,,0.067678577,0.064557737,-7.67351E-08,-3.69126E-08
3503.5,0.0673033,0.0642162,,,,,,0.067303328,0.064216211,-2.83112E-08,-1.06619E-08
3523.52,0.0669322,0.0638782,,,,,,0.066932218,0.063878279,-1.8149E-08,-7.89343E-08
3543.54,0.0665651,0.0635438,,,,,,0.066565178,0.063543885,-7.8168E-08,-8.52787E-08
3563.56,0.0662021,0.0632129,,,,,,0.066202142,0.063212974,-4.17728E-08,-7.44197E-08
3583.58,0.065843,0.0628854,,,,,,0.065843044,0.062885492,-4.38132E-08,-9.22275E-08
3603.6,0.0654878,0.0625613,,,,,,0.065487821,0.062561386,-2.05446E-08,-8.56882E-08
3623.62,0.0651363,0.0622405,,,,,,0.06513641,0.062240603,-1.09591E-07,-1.02875E-07
3643.64,0.0647887,0.061923,,,,,,0.06478875,0.061923093,-4.99081E-08,-9.29218E-08
3663.66,0.0644447,0.0616087,,,,,,0.064444782,0.061608806,-8.17477E-08,-1.05993E-07
3683.68,0.0641044,0.0612976,,,,,,0.064104447,0.061297693,-4.6624E-08,-9.32627E-08
3703.7,0.0637676,0.0609897,,,,,,0.063767687,0.060989707,-8.72802E-08,-6.88318E-09
3723.72,0.0634344,0.0606847,,,,,,0.063434448,0.0606848,-4.76562E-08,-9.99655E-08
3743.74,0.0631046,0.0603829,,,,,,0.063104673,0.060382927,-7.28578E-08,-2.65533E-08
3763.76,0.0627782,0.060084,,,,,,0.062778309,0.060084042,-1.09126E-07,-4.15999E-08
3783.78,0.0624552,0.059788,,,,,,0.062455304,0.059788101,-1.0381E-07,-1.00946E-07
3803.8,0.0621355,0.059495,,,,,,0.062135605,0.059495061,-1.05334E-07,-6.12997E-08
3823.82,0.0618191,0.0592048,,,,,,0.061819163,0.05920488,-6.31756E-08,-8.02109E-08
3843.84,0.0615059,0.0589175,,,,,,0.061505928,0.058917516,-2.78349E-08,-1.60558E-08
3863.86,0.0611958,0.0586329,,,,,,0.061195851,0.058632928,-5.08108E-08,-2.80141E-08
3883.88,0.0608888,0.058351,,,,,,0.060888885,0.058351076,-8.45752E-08,-7.60505E-08
3903.9,0.0605849,0.0580719,,,,,,0.060584983,0.058071921,-8.25489E-08,-2.0896E-08
3923.92,0.060284,0.0577954,,,,,,0.060284099,0.057795424,-9.90781E-08,-2.40292E-08
3943.94,0.0599861,0.0575215,,,,,,0.059986189,0.057521548,-8.94113E-08,-4.76591E-08
3963.96,0.0596912,0.0572502,,,,,,0.05969121,0.057250255,-9.67748E-09,-5.47076E-08
3983.98,0.0593991,0.0569815,,,,,,0.059399117,0.056981509,-1.68641E-08,-8.79281E-09
4004,0.0591098,0.0567152,,,,,,0.059109869,0.056715274,-6.87967E-08,-7.42128E-08
4024.02,0.0588234,0.0564515,,,,,,0.058823424,0.056451516,-2.41181E-08,-1.59298E-08
4044.04,0.0585397,0.0561901,,,,,,0.058539742,0.0561902,-4.22691E-08,-9.95548E-08
4064.06,0.0582587,0.0559312,,,,,,0.058258783,0.055931291,-8.34691E-08,-9.13327E-08
4084.08,0.0579805,0.0556747,,,,,,0.057980509,0.055674758,-8.69742E-09,-5.81275E-08
4104.1,0.0577048,0.0554205,,,,,,0.05770488,0.055420567,-7.96757E-08,-6.74086E-08
4124.12,0.0574318,0.0551686,,,,,,0.057431859,0.055168687,-5.88497E-08,-8.72366E-08
4144.14,0.0571614,0.054919,,,,,,0.057161409,0.054919086,-9.37275E-09,-8.62502E-08
4164.16,0.0568934,0.0546717,,,,,,0.056893495,0.054671734,-9.5089E-08,-3.36532E-08
4184.18,0.056628,0.0544265,,,,,,0.056628081,0.054426599,-8.05172E-08,-9.92016E-08
4204.2,0.0563651,0.0541836,,,,,,0.056365131,0.054183653,-3.08351E-08,-5.31914E-08
4224.22,0.0561046,0.0539428,,,,,,0.056104612,0.053942866,-1.18645E-08,-6.64467E-08
4244.24,0.0558464,0.0537042,,,,,,0.05584649,0.05370421,-9.00558E-08,-1.0308E-08
4264.26,0.0555907,0.0534676,,,,,,0.055590732,0.053467657,-3.24743E-08,-5.66206E-08
4284.28,0.0553373,0.0532331,,,,,,0.055337307,0.053233178,-6.78582E-09,-7.77238E-08
4304.3,0.0550861,0.0530007,,,,,,0.055086181,0.053000746,-8.1243E-08,-4.64399E-08
4324.32,0.0548373,0.0527703,,,,,,0.054837325,0.052770336,-2.46723E-08,-3.60639E-08
4344.34,0.0545907,0.0525419,,,,,,0.054590706,0.05254192,-6.46088E-09,-2.03531E-08
4364.36,0.0543462,0.0523154,,,,,,0.054346297,0.052315474,-9.65442E-08,-7.35174E-08
4384.38,0.054104,0.0520909,,,,,,0.054104065,0.05209097,-6.53938E-08,-7.02091E-08
4404.4,0.0538639,0.0518683,,,,,,0.053863984,0.051868386,-8.40052E-08,-8.55139E-08
4424.42,0.053626,0.0516476,,,,,,0.053626024,0.051647695,-2.38865E-08,-9.49417E-08
4444.44,0.0533901,0.0514288,,,,,,0.053390157,0.051428874,-5.70471E-08,-7.44172E-08
4464.46,0.0531563,0.0512119,,,,,,0.053156356,0.0512119,-5.59869E-08,-2.71433E-10
4484.48,0.0529245,0.0509967,,,,,,0.052924594,0.050996749,-9.3685E-08,-4.92333E-08
4504.5,0.0526948,0.0507834,,,,,,0.052694844,0.050783398,-4.359E-08,1.57907E-09
4524.52,0.052467,0.0505718,,,,,,0.05246708,0.050571825,-7.96096E-08,-2.5334E-08
4544.54,0.0522412,0.050362,,,,,,0.052241276,0.050362008,-7.61005E-08,-7.84559E-09
4564.56,0.0520174,0.0501539,,,,,,0.052017408,0.050153924,-7.85895E-09,-2.41943E-08
4584.58,0.0517954,0.0499475,,,,,,0.05179545,0.049947553,-5.01116E-08,-5.2977E-08
4604.6,0.0515753,0.0497428,,,,,,0.051575379,0.049742873,-7.85059E-08,-7.31414E-08
4624.62,0.0513571,0.0495398,,,,,,0.051357169,0.049539864,-6.91015E-08,-6.39789E-08
4644.64,0.0511407,0.0493385,,,,,,0.051140798,0.049338505,-9.83617E-08,-5.11762E-09
4664.66,0.0509262,0.0491387,,,,,,0.050926243,0.049138777,-4.31445E-08,-7.65154E-08
4684.68,0.0507134,0.0489406,,,,,,0.050713481,0.048940658,-8.06948E-08,-5.84536E-08
4704.7,0.0505024,0.0487441,,,,,,0.050502489,0.048744132,-8.86361E-08,-3.15299E-08
4724.72,0.0502932,0.0485491,,,,,,0.050293245,0.048549177,-4.4963E-08,-7.66528E-08
4744.74,0.0500857,0.0483557,,,,,,0.050085728,0.048355775,-2.80328E-08,-7.50348E-08
4764.76,0.0498799,0.0481639,,,,,,0.049879917,0.048163908,-1.65591E-08,-8.18662E-09
4784.78,0.0496757,0.0479735,,,,,,0.04967579,0.047973558,-8.96036E-08,-5.79112E-08
4804.8,0.0494733,0.0477847,,,,,,0.049473327,0.047784706,-2.65694E-08,-6.29818E-09
4824.82,0.0492725,0.0475973,,,,,,0.049272507,0.047597336,-7.19413E-09,-3.5718E-08
4844.84,0.0490733,0.0474114,,,,,,0.049073312,0.047411429,-1.1543E-08,-2.88166E-08
4864.86,0.0488757,0.0472269,,,,,,0.04887572,0.047226969,-2.00023E-08,-6.85098E-08
4884.88,0.0486797,0.0470439,,,,,,0.048679713,0.047043938,-1.3273E-08,-3.79787E-08
4904.9,0.0484852,0.0468623,,,,,,0.048485272,0.046862321,-7.23644E-08,-2.06637E-08
